company,state,total_filings,avg_salary,median_salary,sponsorship_score,size_category
AMAZON,WA,4459,165977,165200,87.2,Large
MICROSOFT,WA,2829,167924,165380,73.0,Large
COGNIZANT,TX,2709,111289,108618,60.6,Large
TCS,MD,1563,91477,87734,46.4,Medium
META,CA,1529,212520,214000,70.2,Medium
GOOGLE,CA,1393,190151,186000,64.6,Medium
EY,NJ,1350,170309,166400,60.2,Medium
APPLE,CA,1272,172128,169100,59.9,Medium
WAL-MART ASSOCIATES,AR,1128,143879,146927,53.0,Medium
INFOSYS,TX,1066,110238,107141,45.7,Medium
DELOITTE,PA,915,132933,133700,48.9,Medium
HCL AMERICA,CA,914,112268,109044,44.7,Medium
ACCENTURE,IL,828,130210,123900,47.5,Medium
INTEL,CA,825,126636,121451,46.8,Medium
CAPGEMINI AMERICA,IL,776,129793,128000,47.0,Medium
IBM,NC,730,131371,116644,46.9,Medium
JPMORGAN CHASE,IL,722,158070,151200,52.1,Medium
WIPRO,NJ,642,95332,86402,38.9,Medium
LTIMINDTREE LIMITED,NJ,548,109170,105997,40.8,Medium
TESLA,TX,472,154178,150456,49.1,Small
COMPUNNEL SOFTWARE GROUP,NJ,462,111161,106000,40.5,Small
AMAZON DEVELOPMENT CENTER U.S.,WA,429,173133,170000,52.5,Small
CISCO,CA,414,134198,132080,44.6,Small
SALESFORCE,CA,413,204705,200751,58.7,Small
MPHASIS,NY,379,117765,117000,41.0,Small
GOLDMAN SACHS,NY,358,145346,145000,46.3,Small
FIDELITY TECHNOLOGY GROUP,MA,312,121109,117832,41.1,Small
QUALCOMM,CA,302,146733,147654,46.1,Small
NVIDIA,CA,281,188283,189542,54.2,Small
TECH MAHINDRA (AMERICAS),NJ,277,111983,105997,39.0,Small
FORD MOTOR COMPANY,MI,272,130932,127001,42.7,Small
UBER,CA,233,183834,184100,52.9,Small
RANDSTAD DIGITAL,MA,224,130097,130000,42.1,Small
RIVIAN AUTOMOTIVE,CA,223,155695,153268,47.2,Small
LINKEDIN,CA,218,167863,158662,49.6,Small
CAPITAL ONE,VA,215,142414,149781,44.5,Small
ORACLE,TX,213,147690,141982,45.5,Small
MORGAN STANLEY,NY,212,165892,165500,49.1,Small
PAYPAL,CA,211,174995,173000,50.9,Small
GENERAL MOTORS,MI,210,128966,125674,41.7,Small
AMAZON DATA SERVICES,WA,206,150978,148700,46.1,Small
PWC,FL,202,181750,183000,52.2,Small
ETEAM,NJ,196,105234,97650,36.9,Small
BYTEDANCE,CA,193,229934,221000,61.7,Small
"CITIBANK, N.A.",NY,192,161467,155459,48.1,Small
CGI TECHNOLOGIES AND SOLUTIONS,VA,191,119742,117858,39.7,Small
UST GLOBAL,CA,184,114094,107858,38.5,Small
VIRTUSA,MA,178,117504,120000,39.2,Small
AT&T SERVICES,TX,174,162164,160000,48.0,Small
AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY,NY,171,149335,150000,45.5,Small
ELEVANCE HEALTH,IN,168,138984,136578,43.4,Small
FIS MANAGEMENT SERVICES,NY,164,134358,133270,42.4,Small
ADVANCED MICRO DEVICES,CA,162,163602,154565,48.2,Small
WELLS FARGO,AZ,158,138937,134347,43.3,Small
BANK OF AMERICA,NC,154,152841,150000,46.0,Small
SERVICENOW,CA,150,149670,149781,45.3,Small
BARCLAYS SERVICES,NY,150,159489,156950,47.3,Small
INTUIT,CA,148,174754,166378,50.3,Small
HEXAWARE TECHNOLOGIES,NJ,147,102603,94500,35.9,Small
OPTUM SERVICES,MN,146,126351,126784,40.6,Small
ADOBE,CA,145,194311,185000,54.2,Small
FISERV SOLUTIONS,WI,144,130482,130771,41.5,Small
DOORDASH,CA,144,177405,178308,50.8,Small
CHARLES SCHWAB & COMPANY,TX,141,151637,150644,45.6,Small
UNIVERSITY OF MICHIGAN,MI,139,82364,73714,31.8,Small
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,PA,139,96205,75000,34.6,Small
MASTECH DIGITAL TECHNOLOGIES,PA,138,103703,105997,36.1,Small
"THE LELAND STANFORD, JR UNIVERSITY",CA,136,96632,80000,34.6,Small
JOHNS HOPKINS UNIVERSITY,MD,136,92834,74298,33.9,Small
PEOPLE TECH GROUP,WA,136,129207,137259,41.1,Small
T-MOBILE USA,WA,135,143210,140000,43.9,Small
SNOWFLAKE,CA,134,185873,188442,52.4,Small
CUMMINS,TN,129,101582,103438,35.6,Small
CITIUSTECH,NJ,128,103772,100000,36.0,Small
TIKTOK,CA,126,213336,210000,57.8,Small
FEDERAL EXPRESS,TN,124,112874,111573,37.8,Small
VISA TECHNOLOGY & OPERATIONS,CA,123,140088,137629,43.2,Small
SYNECHRON,NY,122,114554,112000,38.1,Small
L&T TECHNOLOGY SERVICES LIMITED,NJ,122,97924,92826,34.8,Small
KFORCE,FL,120,117161,113838,38.6,Small
ATOS SYNTEL,MI,118,100852,93374,35.3,Small
WORKDAY,CA,118,150477,155605,45.2,Small
COMCAST CABLE COMMUNICATIONS,PA,118,123015,125262,39.7,Small
CHARTER COMMUNICATIONS,MO,117,115508,113184,38.2,Small
BOSTON CONSULTING GROUP,MA,117,190403,190000,53.2,Small
PALO ALTO NETWORKS,CA,115,180099,179822,51.1,Small
U.S. BANK NATIONAL ASSOCIATION,MN,114,133912,131510,41.9,Small
ATRIXSOFT,WY,111,106197,106197,36.3,Small
YALE UNIVERSITY,CT,109,90199,72862,33.1,Small
EFICENS SYSTEMS,GA,108,95856,94250,34.2,Small
LUCID USA,CA,108,149443,149531,44.9,Small
APPLIED MATERIALS,CA,106,146113,147220,44.2,Small
UNIVERSITY OF WISCONSIN SYSTEM,WI,106,79532,67978,31.0,Small
EBAY,CA,105,193686,195000,53.7,Small
AMGEN,CA,104,152127,141865,45.4,Small
NTT DATA AMERICAS,TX,104,111890,111197,37.4,Small
KPMG,TX,103,147649,147400,44.5,Small
AETNA RESOURCES,RI,102,141746,136717,43.3,Small
